STT,Từ vựng,Nghĩa
389,繰り上げる (くりあげる),"sớm hơn (lịch trình), thăng tiến"
390,磨き上げる (みがきあげる),"đánh bóng, mài giũa"
391,鍛え上げる (きたえあげる),"dạy dỗ, rèn luyện"
392,書き上げる (かきあげる),"Viết xong, hoàn thành"
393,育て上げる (そだてあげる),Nuôi lớn
394,読み上げる (よみあげる),"Đọc to, đọc ra"
395,数え上げる (かぞえあげる),"Nêu lên, liệt kê, đếm"
396,投げ出す (なげだす),"ngồi vắt chéo chân, từ bỏ"
397,持ち出す (もちだす),"mang ra ngoài, cầm đi"
398,追い出す (おいだす),"đuổi đi, tống cổ"
399,放り出す (ほうりだす),"quảng đi, phóng ra, bỏ cuộc"
400,貸し出す (かしだす),cho vay; cho mượn
401,聞き出す (ききだす),"lắng nghe, chất vấn"
402,連れ出す (つれだす),dẫn ra ngoài
403,引っ張り出す (ひっぱりだす),"lôi ra, đem ra, kéo ra ngoài"
404,逃げ出す (にげだす),"chạy trốn, thoát ra ngoài"
405,飛び出す (とびだす),"phóng ra, bỏ nhà đi"
406,見つけ出す (みつけだす),"tìm thấy, tìm ra"
407,探し出す (さがしだす),tìm thấy được
408,書き出す (かきだす),viết ra
409,飛び込む (とびこむ),"nhảy vào, lao vào"
410,駆け込む (かけこむ),"đâm sầm vào, vội vã chạy"
411,割り込む (わりこむ),chen vào; xen ngang
412,差し込む (さしこむ),"cắm vào ( điện, chìa khóa...), chiếu vào"
413,染み込む (しみこむ),"ngấm gia vị, thấm vào"
414,引っ込む (ひっこむ),"lui vào, co lại, quy ân giang hồ"
415,詰め込む (つめこむ),"nhét vào, tống vào"
416,飲み込む (のみこむ),"nuốt vào, hiểu rõ"
417,運び込む (はこびこむ),"mang vào, bê vào"
418,打ち込む (うちこむ),"đóng (đỉnh), cống hiến, nhập ( dữ liệu )"
419,注ぎ込む (そそぎこむ),"dồn hết vào, đổ vào"
420,引き込む (ひきこむ),"lôi kéo vào, dẫn vào"
421,書き込む (かきこむ),"ghi vào, viết vào, đăng tải"
422,巻き込む (まきこむ),"cuộn vào, lôi kéo"
423,追い込む (おいこむ),"lùa, dồn vào"
424,呼び込む (よびこむ),"mời gọi, lôi kéo, thu hút, đem lại"
425,座り込む (すわりこむ),"ngồi lì, ngồi bệt xuống"
426,寝込む (ねこむ),"hôn mê, nằm liệt giường"
427,話し込む (はなしこむ),"Say sưa trò chuyện, nhập tâm"
428,黙り込む (だまりこむ),"chìm vào yên lặng, giữ im lặng"
429,泊まり込む (とまりこむ),"trọ lại, ở lại"
430,住み込む (すみこむ),"Ở nhờ, ăn nhờ ở đậu"
431,煮込む (にこむ),"nấu nhừ, ninh kỹ"
432,売り込む (うりこむ),"chào hàng, tiếp thị sản phẩm"
433,頼み込む (たのみこむ),"năn nỉ, nhờ vả"
434,教え込む (おしえこむ),"dạy dỗ, huấn luyện"
435,話し合う (はなしあう),"trò chuyện, nói chuyện"
436,言い合う (いいあう),"tranh luận, cãi cọ, thốt lên"
437,語り合う (かたりあう),"tâm sự, hàn huyên"
438,見つめ合う (みつめあう),nhìn chằm chằm
439,向かい合う (むかいあう),đối diện nhau
440,助け合う (たすけあう),giúp đỡ hỗ trợ nhau
441,分け合う (わけあう),"chia sẻ, chia đều ra.."
442,出し合う (だしあう),"đóng góp, phối hợp, cùng góp phần"
443,申し合わせる (もうしあわせる),"thống nhất, sắp xếp"
444,誘い合わせる (さそいあわせる),"hẹn nhau, rủ nhau"
445,隣り合わせる (となりあわせる),cạnh nhau
446,組み合わせる (くみあわせる),ghép lại; kết hợp; liên kết lại; liên kết; phối hợp
447,詰め合わせる (つめあわせる),"đóng gói, đóng hộp"
448,重ね合わせる (かさねあわせる),"xếp chồng lên, tựa như"
449,居合わせる (いあわせる),tình cờ gặp
450,乗り合わせる (のりあわせる),"đi cùng chuyến, đi chung xe"
451,持ち合わせる (もちあわせる),"có trong tay, có mang theo"
452,問い合わせる (といあわせる),hỏi; hỏi thăm
453,照らし合わせる (てらしあわせる),"so sánh, đối chiếu"
454,聞き直す (ききなおす),"nghe lại, hỏi lại"
455,やり直す (やりなおす),"làm lại, bắt đầu lại"
456,かけ直す (かけなおす),gọi lại
457,出直す (でなおす),"làm lại từ đầu, trở lại"
458,持ち直す (もちなおす),chuyển biến tốt
459,考え直す (かんがえなおす),"xem lại, suy nghĩ lại"
460,思い直す (おもいなおす),nghĩ lại; thay đổi ý định; đổi ý
461,アンテナ,"ăng ten, nghe ngóng"
462,イヤホン,tai nghe
463,サイレン,"tiếng chuông (chuông tan ca, chuông báo cháy)"
464,コード,"dây (điện), mã số"
465,モニター,"màn hình, khảo sát"
466,メーター,đồng hồ đo
467,ペア,"một cặp, ghép đôi"
468,リズム,"giai điệu, nhịp"
469,アクセント,"trọng âm, điểm nhấn"
470,アルファベット,bảng chữ cái
471,アドレス,địa chỉ
472,メモ,ghi chú
473,マーク,"đánh dấu, kí hiệu"
474,イラスト,"hình minh họa, bức họa"
475,サイン,"chữ kí, dấu hiệu"
476,スター,"ngôi sao nổi tiếng, thần tượng"
477,アンコール,"yêu cầu của khán giả, diễn thêm tặng khán giả"
478,モデル,"người mẫu, mô hình"
479,サンプル,hàng mẫu
480,スタイル,"kiểu cách, phong cách"
481,ウエスト,"eo, vòng eo"
482,カロリー,calo
483,オーバー,"quá, vượt quá"
484,コントロール,"kiểm soát, điều khiển"
485,カーブ,"khúc cua, đường cong"
486,コース,"khóa học, phần ăn, đường chạy (marathon)"
487,レース,"cuộc đua, ren (viên áo – quần)"
488,リード,dẫn đầu
489,トップ,đầu bảng
490,ゴール,"về đích, kết thúc, điểm đích"
491,パス,"vượt qua, đường chuyền"
492,ベスト,tốt nhất
493,レギュラー,"thông thường, chính thức"
494,コーチ,huấn luyện viên
495,キャプテン,đội trưởng
496,サークル,câu lạc bộ
497,キャンパス,"khuôn viên, sân bãi trường học"
498,オリエンテーション,"định hướng, buổi giới thiệu"
499,カリキュラム,"giáo án, chương trình giảng dạy"
500,プログラム,"chương trình, lập trình"
501,レッスン,bài học
502,レクリエーション,"giải trí, nghỉ giải lao"
503,レジャー,"vui chơi, rảnh rỗi"
504,ガイド,hướng dẫn
505,シーズン,mùa
506,$x^{*}1+(7^{\circ}>7),"bảng giờ tàu chạy, kim cương"
507,ウイークデー,ngày trong tuần
508,サービス,dịch vụ
509,アルコール,"cồn, rượu"
510,デコレーション,trang trí
